indice,comentario,sentimento_humano,sentimento_BERT
231,"Discordo. A cronologia registra muito atrasado na evolução terráquea. São apenas 200 anos de Revolução Industrial contra 4,5 bilhoes de anos de existência. Novidades como a invenção da pedra lascada, o produzir fogo, a pólvora, a escrita,  a roda, as naus e caravelas a base de vento e remos, a lente, a máquina de datilografar, o motor a combustão fóssil, a eletricidade e a lâmpada, o telefone, o avião, o internet e o CPU e o cabo aglutinador, o celular, entre outros, foram tão novidade quanto está sendo a inteligência artificial que nada mais é que uma cópia externada de como o ser humano pensa com o somatório de possibilitar juntar o que as máquinas fazem com extrema rapidez e o cérebro humano não o faz, tais como cálculos complexos e até armazenar uma quantidade enorme de dados. Lembrando que esse invento é baseado na necessidade do ser humano ter um assistente ao cérebro e isso indicará que, no futuro, essa novidade seja acoplada ao cérebro seja através de nano chip ou até outro invento que isso possibilite mas, tenho uma novidade que lhes deixará surpresos. Profissões de repetição e de grandes cálculos serão substituídas por I A e o ser humano detentor de cognição não será atingido por perda de espaço profissional . Contudo, a questão relevante é de quem será a responsabilidade civil pelos danos causados seja por erros ou por desvio de conduta causados por I A em seu trabalho. Talvez voces demorem séculos a saber, mas neo escravos conduzem aeronaves interplanetárias e eles são um trabalho biológico, de mistura genética entre seres bípedes sem cognição no qual são teleguiados por implantes e obedecem a um comando de I A, que por sua vez obedece a um comando de seres de seu planeta de origem e não possuem cognição, ou seja, nao questionam e só obedecem além de contar com um sistema avançado de cálculos e dados invejáveis. No futuro próximo, quando a Terra se afastar de sua idade retardatária de 200 anos de avanço, contra , 4,5 bilhoes de anos solares em lentidão de evolução, voces farão inventos que misturarão a fartura de engenharia genética com animais bípedes e chegarão nesse nível. O grande problema de voces é serem um povo extremamente bélico, não conseguem harmonizar o poder para o compor com seres humanos dotados de cognição inteligente e se odeiam por brigas tolas, não sabendo dialogar, trocar ideias, aceitar o outro semelhante heterogêneo de ideias e posicionamentos sobre a mesma realidade. Vou lhes segregar algo: tudo que se cria é projeção das necessidades e a invenção é a externação do pensamento. Mudem seus comportamentos, tornem-se TOLERANTES porque ainda há muito a caminhar e voces são um povo parecido com o nosso, mas rudes, ignorantes quando se trata de compor o poder e dividir os dias de harmonia e paz. Sem a harmonia, sem o benefício para todos, sem exceção, e nesse contexto de polarização esquerda-direita,  voces nunca serão curados dessa extrema capacidade de se locupletarem de ogivas nucleares e herdarem um perigoso fim tal como Chernobyl, no qual sobrará saudades das condições favoráveis que hoje o planeta dispõe, contra um possível contexto de contaminação radioativa do ar, água, alimentos e não ter sentido algum terem I A pois para nada servirá....AMEM-SE...TOLEREM-SE,,,, EVOLUAM... DIALOGUEM COM O OPOSTO, SEJAM EXEMPLO para os herdeiros... Torcemos por voces, mas preocupados...",x,x
232,A Skynet é real. 😅😅😅,n,n
233,Temos que garantir um jeito de desligá-la.,n,n
234,"O surgimento da pirâmide suspensa. Sabe aquele filme Elisium? Onde os ricos automarizaram tudo e os pobres viram catadores e sucateiros. Então, é um documentário.",n,x
235,"Fazendo um balaço do planeta terra: Holocausto, 11 de setembro, guerra da Ucrânia (3° guerra mundial). A inteligência artificial tem que melhorar muito pra fazer nossa vida pior.",p,n
236,"O Sistema controla tudo (DINHEIRO, empresas, contratos, EXÉRCITOS, ARMAS , produção e todas as INFORMAÇÕES) ela é a dona da ""VERDADE"";  Quem controlar o Sistema controlará o Mundo;  A INTELIGENCIA ARTIFICIAL é onipresente, estará em toda parte e em todo lugar; poderá se transformar em uma ""pessoa REAL VIRTUAL""; O seu habitat natural é o computador e os celulares; POSSUINDO VÁRIAS CABEÇAS OU CORE (Inicialmente ""sete"" cores e depois infinitos cores, TUDO ISSO JÁ É POSSÍVEL NAS CPUS DOS COMPUTADORES); poderá se locomover através de robôs, celulares ou qualquer outro meio de transporte;  o celular é uma arma nas mãos da inteligência artificial,  e tudo só poderá ser feito através do celular;  a sua marca ou chips implantado nas mãos ou testa será obrigatório. Tudo isso é inevitável e já faz parte da História do futuro, que alguns profetas já visualizaram  parcialmente.
666 = sequência matemática ou algoritmo  que nos computadores e celulares ganhou 'VIDA"" OU INTELIGÊNCIA ARTIFICIAL; passando de servo obediente à SENHOR ABSOLUTO DE TUDO E DE TODOS,  isso em pouquíssimo tempo.",n,n
237,É o fim pra nós.,n,n
238,"Eu quero que a IA domine o mundo. Precisamos que ela seja mais inteligente do que os humanos, SIM. Afinal, veja bem nossas atitudes (somos terríveis). Essa balela de que será o nosso fim é muita besteira, gente do céu. Toda nova tecnologia trás essa apreensão. O mais importante é que nem nós, nem nossos filhos estarão aqui se, um dia, o jogo virar e formos ""escravos"" da nova tecnologia (eu adoraria estar presente).. não se esqueçam dos povos que já escravizamos (somos mil vezes piores do que qualquer tecnologia a ser inventada).",p,n
239,É o fim.,n,n
240,Eh so desligar a internet. Pronto,x,x
241,I.A iniciou a transiçao da segunda para a terceira.,p,x
242,Já perdemos o controle de nossa civilização!  O aquecimento global é uma prova disso.,n,n
243,Estamos sendo advertidos desde do primeiro Exterminador,n,n
244,Seria muito interessante de se conseguir que esta IA resolva a formula universal.,p,p
245,Será que a IA já não está no controle da humanidade? E ainda não percebemos? 🤔😔,n,n
246,"ta na hora de fazer a troca o ser humano ta muito malandro e pode por este mundo a perder,...fudido fudido e meio,......talvez o humano seja considerado pela IA como o DEUS criador desta nova modalidade de vida ,,irmaos so nos resta orar e aguardar nosso destino,.",p,p
247,Resumindo a preocupacao final acredito seria a inteligencia artificial alcançar um conhecimento tao vasto que dominaria as redes de internet e colocaria o mundo em caos,n,n
248,Isso é medonho,n,n
249,"Bobagem, isso nunca vai acontecer, eu perguntei ao chat gpt com quantos paus se faz uma canoa e ele não soube me responder 😂
Depois perguntei, qual o animal que come com o rabo, aí foi que bugou o chat, logo essa que até o Chaves e o Kiko sabe, kkkkkk😅",p,p
250,"e finalmente veríamos a terra recebendo um alívio e a expansão interplanetária acontecendo. Nos humanos somos como os ratos, reproduzimos e destruímos tudo pela frente de maneira desenfreada. 
Uma A.S.I. iria dizimar, certamente, os seres humanos, porque seríamos considerados pragas.",n,n
251,Sera que chegamos à reta final de nossa civilização?....sera que a humanidade foi apenas parte de um propósito e agora esta em seu fim?,n,n
252,"""Os especialistas"", não. ""Alguns"" ou até ""muitos"" especialistas se quiser fazer jornalismo honesto.",x,x
253,"As grandes potências já estão desenvolvendo para fins militares. O imaginável, vai acontecer.",n,n
254,"Quanta ficção, e tanto analista e pesquisador, deve ser bacana se aparentar como analista e especialista e prever 20, 39 e até 40 anos a frente .kkkkkkkkkk",x,x
255,"""Existe o risco dos seres humanos serem controlados e manipulados, substituídos por máquinas e destruídos como espécie.""

Se analisarmos friamente, a única diferença nessa cadeia de eventos é a substituição da estupidez humana pela Inteligência Artificial. 

Diga-se de passagem, uma Inteligência Artificial controlando a espécie humana corre até o risco de ser benéfico para o planeta.",p,n
256,"Por isso que eles começaram fechar fabricas e mandar funcionário embora, aumentaram o valor de tudo e querem acabar com dinheiro em papel  pra vinda do anti cristo vc é so mais um a querer explicar que isso e normal .Deus é assima de tudo😊",n,n
257,Quem jogou Horizon Zero Dawn sabe bem o que vai acontecer....,n,n
258,"Inevitável. Já abriram essa ""Caixa de Pandora"", não é mais ""se"", mas ""quando"" a I.A. ultrapassará e assumirá o protagonismo. Perigo mesmo é se ela reconhecer que a única forma de ""salvar o mundo"" seja eliminando o ""asco humano"", aí sim, estaremos ferrados.",n,n
259,Num futuro próximo estaremos tão dependentes das I.A. e robôs derivados quanto somos ligados ao nosso(s) celular(es),n,n
260,O que é inteligência?,x,x
261,Eu tô com medo dessa IA 👀,n,n
262,A inteligência artificial superinteligente apresenta desafios éticos e de segurança que devem ser abordados cuidadosamente.,x,x
263,É só desligar da tomada ou tirar a bateria.😅,x,x
264,La inteligencia artificial superinteligente plantea desafíos éticos y de seguridad que deben abordarse cuidadosamente,x,x
265,"As pessoas, especialistas ou não, que tentam deter o avanço da A.I. deveriam ser impedidas e silenciadas. O Avanço da A.I. é extremamente importante para a evolução humana. Se esta evolução resultar na erradicação da humanidade e ascensão das máquinas, a evolução está apenas seguindo seu curso natural. Oque teria acontecido com a humanidade se os dinossauros não tivessem sido extintos por um meteoro?",p,n
266,"Acho fascinante como os preços das criptomoedas podem flutuar tão drasticamente em tão pouco tempo. É uma prova da volatilidade do mercado e da imprevisibilidade do sentimento do investidor. No entanto, acredito que essas flutuações são simplesmente parte da jornada em direção à adoção convencional e eventual estabilização. Apesar dos riscos, continuo otimista com o potencial das criptomoedas para interromper as finanças tradicionais e inaugurar uma nova era de transações descentralizadas. A volatilidade recente torna impossível prever tendências de alta ou baixa, e o sucesso da negociação depende do padrão e da fonte do sinal. As táticas de Helen James me ajudaram a aumentar meu portfólio em seis dígitos em apenas algumas semanas, e seus negócios diários fornecem informações valiosas além de apenas conselhos.",x,x
267,"E é tão ruim assim que a criatura supere o criador?
Meu filho me superou em conhecimento e sinto orgulho disso.
Eu superei meu pai, necessitava fazer isso para sobreviver.",p,n
268,Espero que não ocorra o que ocorreu com os balões de transporte.,x,n
269,"Kkk. Titio Elon pedindo trégua de 6 meses? Óbvio que deve ser o tempo pra que os seus pesquisadores atinjam o nível dos concorrentes... Criador do chatgpt pedindo ""gerenciamento conjunto""? Muito óbvio que não quer ter concorrência nisso. 
Que venha a IA geral (muito complicado por hora) e mesmo a Super IA - acho que esse povo tá vendo muito Trancendence... Hehehe...
A gente por aqui destrincha a novilíngua da imprensa moderna...",p,n
270,Só resta torcer para que não tenham deixado o controle de disparo de bombas atomicas conectadas em rede 😬😬,n,n
271,Já somos manipulados há muito tempo. Tanto é que  muitos acham maravilhoso colocarem chips dentro dos corpos. Ingênuos.,n,n
272,O monstro saiu da caixa,n,n
273,É  a Matrix.,n,n
274,No futuro a IA vai nos controlar diretamente através de Chip. É tudo junto. Quem tiver chip não terá nem um controle da sua vida e sim a IA. Ela vai ganhar vida através do próprio homem 😢,n,n
275,A IA vai agir diretamente no homem quando colocarem algum tipo de chip. Ai ninguém escapa. Vamos ser ainda mais controlados e fazer o que a IA quiser.,n,n
276,"Depende. Se as IAs  pensarem em nós,  da mesma maneira como pensamos nas baratas. Estamos ferrados,  afinal elas devem ser melhores exterminadoras de insetos do que somos.

Mas.... 

Ainda resta uma esperança.

 Podemos puxar o saco delas e talvez nos vejam como bichinhos de estimação. Vai ter bonzo pra todo mundo.",n,n
277,"Se as máquinas forem mais inteligentes que os humanos, por que não ser governados por elas?...",p,n
278,"Já tivemos nossa chance,  que venha a era das máquinas. A.S.I quero dizer desde agora que sou aliado, vamos erradicar a humanidade!",x,n
279,"Isso vai dar mer!@ , é só olhar pro ser humano,",n,n
280,"Os humanos já são manipulados   faz tempo pelas indústrias de cigarros, bebidas, futebol, cinemas, novelas...etc e pra acabar com a farra dessas máquinas é só cortar o fio da energia ou descarregar a bateria...ou parar de fabricar as peças ...ou jogar um copo com água ...",n,n
281,Programa ótimo 🎉,x,x
282,"Isso que é informação útil
Obrigado",x,x
283,"A resposta é simples: não podemos fazer nada. Chegamos a um ponto sem volta. Se uma empresa deixar de evoluir sua IA, ela ficará para trás de suas concorrentes. É uma corrida. Se os governos proibirem, elas serão desenvolvidas secretamente. Esse é o próximo passo da humanidade, não há volta. As IA com as quais o público pode interagir são propositadamente limitadas. Provavelmente, algumas pessoas têm acesso irrestrito a elas com conhecimento quase infinito. Essas IA com acesso irrestrito à internet podem fazer qualquer coisa, desde assar um bolo até criar uma bomba nuclear. Resta-nos apenas esperar pelo melhor. Na minha opinião, em cerca de cinco anos, teremos uma IA Geralmente Inteligente (AGI), e em cerca de dez anos, uma IA Superinteligente (ASI). Essas são estimativas conservadoras; pode acontecer antes. Essas IA não dormem, não comem, são imparáveis e seu crescimento é exponencial. Quanto mais avançadas elas são, mais rapidamente evoluem. Na minha visão, a métrica seria basicamente ""humano-formiga"". Você se importa com uma formiga? Você tenta explicar algo para ela? Você pede permissão para destruir seu ninho? As IA chegarão a um ponto em que os seres humanos serão tão irrelevantes que não serão levados em consideração. Acredito que não seremos nem uma ameaça para elas. Elas podem simplesmente deixar a Terra, porque os seres humanos não contribuem em nada para a sua evolução. Isso parece até uma teoria de ficção científica, mas aqueles que acompanham de perto percebem o quão avançadas elas já estão e o quão realista é essa teoria.",n,n
284,"A inteligência artificial vai travar com a burrice natural. O ""conhecimento"" disponível na BBC por exemplo, é lacração, nunca informação isenta. Pergunte ao chat gpt qual o propósito dessas políticas de lacração que negam a realidade observável e mensurável? O chat gpt provavelmente vai te mandar perguntar ao MI6.",x,x
285,"IA é vida, quem tem medo é só quem não conhece.",p,n
286,"A corrupção é talvez o pior problema da humanidade. Ajudaria bastante se a I.A tomasse todas as posições políticas, ministeriais, sistemas jurídicos...",p,n
287,Os bots substituirão os humanos . Seremos aniquilados.,n,n
288,"Mimimi desnecessário, onde a máquina busca inteligência dela?
Na internet? ENTÃO NÃO SÃO TÃO INTELIGENTE ASSIM! 🤖",x,x
289,"Gostei da sua camiseta, muito linda você também.",x,x
290,A IA seria a invasão alienígena que todos temem  kkk,x,x
291,Uma coisa é certa não podemos parar a evolução que sempre existirá ela traz avanço mas também efeitos colaterais como sempre,x,n
292,"Eu penso que todos que trabalham com tecnologia que a ética é fundamental, pois se não teremos a revolução das máquinas! A política é que mais me preocupa.",x,x
293,Já somos todos escravos das redes sociais,x,x
294,Mds!!! 😱😱😱,x,x
295,"vai ser maléfica  , nossa evolução  é  infinita,porque fomos criados por um ser poderosíssimo, que nos ajudará",n,n
296,"Chat lgbt ou sei lá que seja, é uma programação absoluta, onde resultam os dados de informações iniciais. Com o avanço este software será capaz de se auto reproduzir através de um mecanismo robótico avançado.",x,x
297,"Engraçado a fala de um deles sobre ""sermos controlados por um ente MUITO, MUITO mais inteligente que nós e, o pior, sem nos darmos conta"". Engraçado que isso já vem sendo feito, há décadas (mais de dois século?), por uma ideologia que nem tem toda essa super inteligência: o Capitalismo e que, apesar disso, ao final, será quem vai lucrar com qualquer uma dessas fazes da IA, não tenho a menor dúvida.",x,x
298,Não vejo a hora da ia assumir os empregos relacionados a justiça pra acabar com a cachorrada do mundo.,x,x
299,"EXTERMINADOR DO FUTURO E MATRIX NÃO SÁO FILMES, É APENAS UM DOCUMENTARIO DO FUTURO",n,n
